Ticker,Compared_To,Correlation
SBIN,BAJAJ-AUTO,0.14
SHRIRAMFIN,BAJAJ-AUTO,0.29
SUNPHARMA,BAJAJ-AUTO,0.16
TATACONSUM,BAJAJ-AUTO,0.19
TATAMOTORS,BAJAJ-AUTO,0.3
TATASTEEL,BAJAJ-AUTO,0.29
TCS,BAJAJ-AUTO,0.02
TECHM,BAJAJ-AUTO,0.04
TITAN,BAJAJ-AUTO,0.19
TRENT,BAJAJ-AUTO,0.22
ULTRACEMCO,BAJAJ-AUTO,0.24
WIPRO,BAJAJ-AUTO,0.12
ADANIENT,BAJAJFINSV,0.37
ADANIPORTS,BAJAJFINSV,0.41
APOLLOHOSP,BAJAJFINSV,0.24
ASIANPAINT,BAJAJFINSV,0.24
AXISBANK,BAJAJFINSV,0.42
BAJAJ-AUTO,BAJAJFINSV,0.23
BAJAJFINSV,BAJAJFINSV,1.0
BAJFINANCE,BAJAJFINSV,0.74
BEL,BAJAJFINSV,0.35
BHARTIARTL,BAJAJFINSV,0.26
BPCL,BAJAJFINSV,0.35
BRITANNIA,BAJAJFINSV,0.23
CIPLA,BAJAJFINSV,0.14
COALINDIA,BAJAJFINSV,0.29
DRREDDY,BAJAJFINSV,0.27
EICHERMOT,BAJAJFINSV,0.25
GRASIM,BAJAJFINSV,0.44
HCLTECH,BAJAJFINSV,0.28
HDFCBANK,BAJAJFINSV,0.32
HDFCLIFE,BAJAJFINSV,0.34
HEROMOTOCO,BAJAJFINSV,0.23
HINDALCO,BAJAJFINSV,0.3
HINDUNILVR,BAJAJFINSV,0.16
ICICIBANK,BAJAJFINSV,0.42
INDUSINDBK,BAJAJFINSV,0.42
INFY,BAJAJFINSV,0.24
ITC,BAJAJFINSV,0.3
JSWSTEEL,BAJAJFINSV,0.44
KOTAKBANK,BAJAJFINSV,0.26
LT,BAJAJFINSV,0.41
M&M,BAJAJFINSV,0.33
MARUTI,BAJAJFINSV,0.32
NESTLEIND,BAJAJFINSV,0.28
NTPC,BAJAJFINSV,0.4
ONGC,BAJAJFINSV,0.32
POWERGRID,BAJAJFINSV,0.32
RELIANCE,BAJAJFINSV,0.42
SBILIFE,BAJAJFINSV,0.42
SBIN,BAJAJFINSV,0.42
SHRIRAMFIN,BAJAJFINSV,0.49
SUNPHARMA,BAJAJFINSV,0.21
TATACONSUM,BAJAJFINSV,0.29
TATAMOTORS,BAJAJFINSV,0.28
TATASTEEL,BAJAJFINSV,0.47
TCS,BAJAJFINSV,0.23
TECHM,BAJAJFINSV,0.19
TITAN,BAJAJFINSV,0.29
TRENT,BAJAJFINSV,0.2
ULTRACEMCO,BAJAJFINSV,0.48
WIPRO,BAJAJFINSV,0.32
ADANIENT,BAJFINANCE,0.34
ADANIPORTS,BAJFINANCE,0.4
APOLLOHOSP,BAJFINANCE,0.2
ASIANPAINT,BAJFINANCE,0.29
AXISBANK,BAJFINANCE,0.37
BAJAJ-AUTO,BAJFINANCE,0.18
BAJAJFINSV,BAJFINANCE,0.74
BAJFINANCE,BAJFINANCE,1.0
BEL,BAJFINANCE,0.31
BHARTIARTL,BAJFINANCE,0.28
BPCL,BAJFINANCE,0.27
BRITANNIA,BAJFINANCE,0.21
CIPLA,BAJFINANCE,0.05
COALINDIA,BAJFINANCE,0.28
DRREDDY,BAJFINANCE,0.09
EICHERMOT,BAJFINANCE,0.18
GRASIM,BAJFINANCE,0.37
HCLTECH,BAJFINANCE,0.18
HDFCBANK,BAJFINANCE,0.33
HDFCLIFE,BAJFINANCE,0.3
HEROMOTOCO,BAJFINANCE,0.16
HINDALCO,BAJFINANCE,0.26
HINDUNILVR,BAJFINANCE,0.14
ICICIBANK,BAJFINANCE,0.34
INDUSINDBK,BAJFINANCE,0.41
INFY,BAJFINANCE,0.19
ITC,BAJFINANCE,0.3
JSWSTEEL,BAJFINANCE,0.38
KOTAKBANK,BAJFINANCE,0.31
LT,BAJFINANCE,0.38
M&M,BAJFINANCE,0.25
MARUTI,BAJFINANCE,0.27
NESTLEIND,BAJFINANCE,0.25
NTPC,BAJFINANCE,0.32
ONGC,BAJFINANCE,0.32
POWERGRID,BAJFINANCE,0.25
RELIANCE,BAJFINANCE,0.41
SBILIFE,BAJFINANCE,0.34
SBIN,BAJFINANCE,0.39
SHRIRAMFIN,BAJFINANCE,0.46
SUNPHARMA,BAJFINANCE,0.13
TATACONSUM,BAJFINANCE,0.22
TATAMOTORS,BAJFINANCE,0.21
TATASTEEL,BAJFINANCE,0.39
TCS,BAJFINANCE,0.17
TECHM,BAJFINANCE,0.15
TITAN,BAJFINANCE,0.24
TRENT,BAJFINANCE,0.23
ULTRACEMCO,BAJFINANCE,0.44
WIPRO,BAJFINANCE,0.23
ADANIENT,BEL,0.52
ADANIPORTS,BEL,0.58
APOLLOHOSP,BEL,0.21
ASIANPAINT,BEL,0.15
AXISBANK,BEL,0.33
BAJAJ-AUTO,BEL,0.23
BAJAJFINSV,BEL,0.35
BAJFINANCE,BEL,0.31
BEL,BEL,1.0
BHARTIARTL,BEL,0.3
BPCL,BEL,0.51
BRITANNIA,BEL,0.07
CIPLA,BEL,0.08
COALINDIA,BEL,0.62
DRREDDY,BEL,0.14
EICHERMOT,BEL,0.28
GRASIM,BEL,0.33
HCLTECH,BEL,0.22
HDFCBANK,BEL,0.33
HDFCLIFE,BEL,0.24
HEROMOTOCO,BEL,0.08
HINDALCO,BEL,0.37
HINDUNILVR,BEL,-0.06
ICICIBANK,BEL,0.31
INDUSINDBK,BEL,0.32
INFY,BEL,0.15
ITC,BEL,0.22
JSWSTEEL,BEL,0.45
KOTAKBANK,BEL,0.26
LT,BEL,0.59
M&M,BEL,0.37
MARUTI,BEL,0.22
NESTLEIND,BEL,0.06
NTPC,BEL,0.61
ONGC,BEL,0.58
POWERGRID,BEL,0.54
RELIANCE,BEL,0.5
SBILIFE,BEL,0.2
SBIN,BEL,0.58
SHRIRAMFIN,BEL,0.47
SUNPHARMA,BEL,0.17
TATACONSUM,BEL,0.17
TATAMOTORS,BEL,0.37
TATASTEEL,BEL,0.52
TCS,BEL,0.12
TECHM,BEL,0.21
TITAN,BEL,0.15
TRENT,BEL,0.27
ULTRACEMCO,BEL,0.45
WIPRO,BEL,0.25
ADANIENT,BHARTIARTL,0.27
ADANIPORTS,BHARTIARTL,0.31
APOLLOHOSP,BHARTIARTL,0.22
ASIANPAINT,BHARTIARTL,0.13
AXISBANK,BHARTIARTL,0.24
BAJAJ-AUTO,BHARTIARTL,0.28
BAJAJFINSV,BHARTIARTL,0.26
BAJFINANCE,BHARTIARTL,0.28
BEL,BHARTIARTL,0.3
BHARTIARTL,BHARTIARTL,1.0
BPCL,BHARTIARTL,0.26
BRITANNIA,BHARTIARTL,0.12
CIPLA,BHARTIARTL,0.11
COALINDIA,BHARTIARTL,0.26
DRREDDY,BHARTIARTL,0.18
EICHERMOT,BHARTIARTL,0.28
GRASIM,BHARTIARTL,0.29
HCLTECH,BHARTIARTL,0.26
HDFCBANK,BHARTIARTL,0.19
HDFCLIFE,BHARTIARTL,0.21
HEROMOTOCO,BHARTIARTL,0.19
HINDALCO,BHARTIARTL,0.29
HINDUNILVR,BHARTIARTL,0.16
ICICIBANK,BHARTIARTL,0.35
INDUSINDBK,BHARTIARTL,0.23
INFY,BHARTIARTL,0.27
ITC,BHARTIARTL,0.26
JSWSTEEL,BHARTIARTL,0.36
KOTAKBANK,BHARTIARTL,0.3
LT,BHARTIARTL,0.32
M&M,BHARTIARTL,0.28
MARUTI,BHARTIARTL,0.35
NESTLEIND,BHARTIARTL,0.1
NTPC,BHARTIARTL,0.37
ONGC,BHARTIARTL,0.34
POWERGRID,BHARTIARTL,0.31
RELIANCE,BHARTIARTL,0.35
SBILIFE,BHARTIARTL,0.24
SBIN,BHARTIARTL,0.29
SHRIRAMFIN,BHARTIARTL,0.35
SUNPHARMA,BHARTIARTL,0.26
TATACONSUM,BHARTIARTL,0.25
TATAMOTORS,BHARTIARTL,0.26
TATASTEEL,BHARTIARTL,0.31
TCS,BHARTIARTL,0.18
TECHM,BHARTIARTL,0.25
TITAN,BHARTIARTL,0.28
TRENT,BHARTIARTL,0.26
ULTRACEMCO,BHARTIARTL,0.36
WIPRO,BHARTIARTL,0.25
ADANIENT,BPCL,0.46
ADANIPORTS,BPCL,0.5
APOLLOHOSP,BPCL,0.17
ASIANPAINT,BPCL,0.21
AXISBANK,BPCL,0.23
BAJAJ-AUTO,BPCL,0.21
BAJAJFINSV,BPCL,0.35
BAJFINANCE,BPCL,0.27
BEL,BPCL,0.51
BHARTIARTL,BPCL,0.26
BPCL,BPCL,1.0
BRITANNIA,BPCL,0.02
CIPLA,BPCL,0.06
COALINDIA,BPCL,0.62
