ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
0.37,0.8,0.82,-0.18,0.78,0.91,0.48,-0.12,0.89,0.96,0.81,0.79,0.85,0.77,0.77,0.88,0.95,0.69,0.61,0.49,0.83,0.85,0.47,1.0,-0.62,0.72,0.6,0.91,0.12,0.61,0.93,0.67,-0.06,0.92,0.74,0.91,0.51,0.76,0.84,0.92,0.9,0.42,0.58,0.6,0.74,0.87,-0.21,0.94,0.86,0.81
0.15,-0.25,-0.54,0.45,-0.24,-0.41,-0.16,0.36,-0.47,-0.6,-0.36,-0.32,-0.41,-0.24,-0.37,-0.53,-0.5,-0.54,-0.41,-0.45,-0.26,-0.41,-0.14,-0.62,1.0,-0.49,-0.36,-0.53,0.2,-0.03,-0.57,-0.16,0.68,-0.46,-0.27,-0.46,0.12,-0.34,-0.44,-0.51,-0.59,0.21,-0.02,-0.08,-0.33,-0.68,0.59,-0.62,-0.38,-0.52
0.22,0.55,0.85,0.15,0.48,0.7,0.59,-0.1,0.57,0.74,0.64,0.79,0.74,0.57,0.8,0.52,0.71,0.91,0.52,0.72,0.63,0.54,0.73,0.72,-0.49,1.0,0.76,0.66,0.38,0.41,0.64,0.24,-0.02,0.73,0.61,0.64,0.31,0.87,0.43,0.84,0.81,0.48,0.39,0.09,0.85,0.91,0.09,0.81,0.79,0.81
-0.06,0.33,0.56,0.48,0.46,0.54,0.7,0.31,0.48,0.63,0.36,0.81,0.48,0.37,0.56,0.56,0.62,0.57,0.71,0.83,0.44,0.57,0.86,0.6,-0.36,0.76,1.0,0.64,0.48,0.3,0.56,0.18,0.03,0.59,0.38,0.46,0.02,0.81,0.21,0.7,0.58,0.25,0.17,-0.0,0.57,0.76,0.04,0.69,0.67,0.41
0.37,0.71,0.75,-0.02,0.77,0.86,0.59,0.08,0.85,0.91,0.72,0.81,0.76,0.7,0.66,0.88,0.88,0.62,0.72,0.51,0.78,0.92,0.53,0.91,-0.53,0.66,0.64,1.0,0.26,0.58,0.91,0.6,-0.03,0.89,0.6,0.83,0.39,0.7,0.73,0.88,0.81,0.3,0.45,0.62,0.62,0.84,-0.16,0.91,0.85,0.71
0.03,0.03,0.19,0.6,0.24,0.12,0.52,0.54,0.06,0.12,-0.07,0.43,0.05,-0.01,0.15,0.03,0.15,0.29,0.53,0.5,0.13,0.18,0.58,0.12,0.2,0.38,0.48,0.26,1.0,0.21,0.1,-0.15,0.38,0.13,-0.04,0.0,-0.0,0.36,-0.19,0.25,0.08,0.15,-0.11,-0.15,0.17,0.27,0.36,0.17,0.37,0.18
0.74,0.79,0.59,-0.1,0.54,0.66,0.25,-0.05,0.65,0.57,0.66,0.48,0.64,0.67,0.56,0.53,0.59,0.46,0.3,0.15,0.68,0.57,0.16,0.61,-0.03,0.41,0.3,0.58,0.21,1.0,0.53,0.56,0.31,0.7,0.65,0.65,0.71,0.47,0.66,0.55,0.58,0.66,0.7,0.63,0.62,0.44,0.33,0.49,0.65,0.61
0.35,0.78,0.72,-0.18,0.8,0.89,0.38,-0.1,0.95,0.95,0.78,0.8,0.84,0.8,0.72,0.93,0.94,0.55,0.61,0.42,0.86,0.9,0.51,0.93,-0.57,0.64,0.56,0.91,0.1,0.53,1.0,0.72,-0.06,0.89,0.73,0.93,0.48,0.69,0.84,0.88,0.82,0.37,0.57,0.69,0.64,0.83,-0.32,0.92,0.86,0.69
0.52,0.77,0.5,-0.28,0.54,0.77,0.17,-0.18,0.74,0.69,0.81,0.49,0.71,0.83,0.62,0.74,0.73,0.2,0.1,0.05,0.74,0.67,0.14,0.67,-0.16,0.24,0.18,0.6,-0.15,0.56,0.72,1.0,0.23,0.73,0.79,0.8,0.71,0.5,0.83,0.6,0.64,0.54,0.81,0.87,0.52,0.36,-0.11,0.62,0.53,0.4
0.39,0.21,-0.03,0.43,0.21,0.14,0.17,0.31,0.0,-0.08,0.12,0.22,0.12,0.21,0.18,-0.08,0.04,-0.09,-0.09,-0.13,0.24,0.02,0.24,-0.06,0.68,-0.02,0.03,-0.03,0.38,0.31,-0.06,0.23,1.0,0.07,0.19,0.07,0.47,0.17,0.02,0.02,-0.04,0.59,0.35,0.24,0.18,-0.19,0.6,-0.08,0.17,0.02
